Local Authority Name	Electorate	Number of Votes	Yes	No	Rejected Papers 	Estimated population (2013)	Estimated Males (2013)	Estimated Females (2013)	Area (square km)	Population density	Council expenditure per capita (£)	Total Population SAPE 2010	Best-fit Working Age Population	Overall SIMD 2012 Score	Overall SIMD 2012 Rank	Income domain 2012 rate	Number of Income Deprived People 2012	Income domain 2012 rank	Employment domain 2012 rate	Number of Employment Deprived People 2012	Employment domain 2012 rank	Health domain 2012 score	Health domain 2012 rank	Education Skills and Training domain 2012 score	Education Skills and Training domain 2012 rank	Housing domain score	Housing domain rank	Geographic Access domain 2012 score	Geographic Access domain 2012 rank	SIMD Crime 2012 score	SIMD Crime 2012 rank	Working age people with no qualifications	People aged 16-19 not in full time education	Proportion of 17-21 year olds entering higher education 	Pupil Performance on SQA at Stage 4	School Pupil Absences 
Aberdeen City	175751	143664	59390	84094	180	227130	112537	114593	186	1223	2034	914	612	10.04365545	4726	8	75	4102	7	45	4518	-0.101463321	3490	-0.601785235	4795	13.47517731	3929	14.94728229	3420	144	4839	61.57	8	12.93	210	4.9
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	662	442	3.824864567	6214	1	5	6489	3	15	6106	-0.928844561	5554	-0.83740894	5360	5.094614265	5880	24.35986364	2151	0	6486.5	51.01	4	10	196	4.2
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	795	602	3.730585995	6238	2	15	6284	2	10	6340	-0.778487574	5267	-0.765318313	5211	10.38186158	4784	17.39207732	3036	128	5066	49.25	2	6.96	222	5.6
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	621	453	4.404421545	6068	0	5	6494	2	10	6403	-1.170877634	5942	-0.78591362	5255	5.772230889	5755	32.16567121	1462	122	5133	42.07	2	6.8	185	4.4
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	605	432	5.218358227	5883	5	30	5308	4	15	5918	-0.588107131	4812	-0.93159679	5558	8.898944193	5149	14.86349388	3431	185	4331	50.88	7.5	10.96	229	4.7
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	643	347	9.639341163	4812	9	55	4018	8	30	4030	-0.385356377	4280	-0.386938182	4239	13.49072513	3924	4.054296159	5577	140	4886	64.77	14	10.68	193	5.2
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	809	426	4.031728533	6171	4	30	5564	4	15	5706	-0.429824482	4400	-1.271075261	6006	3.012048193	6260.5	6.07353497	5160	108	5355	46.59	2	17.65	213	3.8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	553	340	10.77024744	4548	8	45	4227	9	30	3978	-0.216218626	3779	-0.346584653	4135	15.75342466	3280	11.95195858	3950	178	4409	94.35	20	12.07	200	4.3
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	660	414	8.0885662	5159	7	45	4496	5	20	5192	-0.605643498	4859	-0.467005419	4459	13.17280453	4013	19.57739381	2725	101	5425	92.66	6	9.48	207	4.9
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	544	389	4.329144166	6092	3	20	5774	4	20	5750	-1.14408739	5907	-0.634573479	4898	9.85915493	4916	12.51104221	3855	161	4625	61.63	6	8.55	188	4.2
